road_type,intersection_degree,distance_to_major_road
primary,4,4.988707708778094
residential,3,40.41450361760969
primary,4,0.43625112248504744
tertiary,3,8.320804416864405
primary,3,3.3800517575356746
primary,3,8.445048846435068
tertiary,3,12.581394641872494
primary,3,7.463534240868085
tertiary,1,22.3236134533129
primary,3,1.87507448085501
residential,3,19.03828473481439
tertiary,3,14.435354800763987
motorway,3,3.5183919144619766
tertiary,3,14.53505165283154
tertiary,3,14.315323696714911
primary,4,2.8526634124741834
secondary,3,3.7018892467397104
tertiary,3,69.98848819531884
tertiary,3,73.70509461842289
secondary,3,0.4687919146917455
tertiary,3,14.930820245721005
tertiary,3,7.050194690388177
primary,3,0.12460674675717533
trunk,3,3.1410947172355055
residential,3,155.59140436580688
secondary,3,8.263314731506378
trunk_link,3,1.383627074036897
tertiary,3,6.622842591305434
residential,1,83.37093199438841
residential,4,5.158448183894901
primary,3,3.932463813012344
trunk,3,1.7428057174456189
primary,4,1.4762642488915434
primary,4,5.312422513040685
secondary,3,2.1398390314381266
primary,3,1.7458855877708543
trunk,3,3.688326989645339
motorway,3,1.741987143777731
tertiary,4,23.7197900332801
secondary,4,7.253942079736129
trunk,1,3.122755800426539
trunk,3,0.4348139703818004
trunk,3,1.5591469094852786
trunk,4,0.0995334213331021
primary,3,28.144170923609796
primary,4,1.4294151294020816
trunk,3,1.1928583561678654
residential,3,97.644378168498
tertiary,3,6.673058337644829
trunk,3,2.7446182024033714
primary,4,4.417312508027178
tertiary,1,141.51018871970487
tertiary,3,83.9353493232665
trunk,3,0.0050272387947073935
tertiary,3,6.150403818133359
primary,3,0.7493606193154734
tertiary,3,41.07492679875978
primary,3,4.853498479511907
trunk,3,2.3371570221422204
primary,3,6.502508107309545
tertiary,3,2.6069287786001754
trunk,3,0.3252933466994558
secondary,3,9.493372067903767
tertiary,3,6.303625592324305
secondary,3,7.702445222239058
residential,1,52.06986273179086
primary,3,4.814968342462181
primary,3,2.5702896221932746e-05
primary,3,22.456093457673422
tertiary,1,47.01782806211243
trunk,3,5.616772503606749
trunk,3,8.34254172411897
trunk,3,3.4175864194117485
tertiary,3,99.18467145280569
secondary,3,13.623133754011173
trunk,3,7.7587997189427
motorway,3,2.588254432933252
secondary,4,1.6462235569578927
trunk,4,5.335485835000268
primary,3,7.309900013007341
secondary,4,0.23784704108617882
primary,3,8.889407887946714
secondary,3,3.9604869839362165
primary,4,2.7636148989778397
trunk,3,4.708354975419407
secondary,3,3.0879306053876494
trunk,3,15.142663928324275
tertiary,3,1.496334325167532
primary,3,2.2597676280455734
tertiary,4,30.062052759129777
trunk,3,0.9154977101109855
residential,1,140.33972522030908
trunk_link,3,4.34454606113596
trunk,4,2.243563200135453
residential,3,22.50543543756849
secondary,3,9.251540301606916
primary,1,31.661585307789654
primary,4,3.733729835942385
primary_link,3,1.0586846337537232
primary,3,11.961175460634012
